tipnames,isolate_id,virus_subtype,isolate_name,collection_date,collection_datemonth,collection_dateyear,host_class,host_order,host_family,host_sciname,host_commonname,host_isbird,host_isdomestic,host_simplifiedhost,collection_regionname,collection_countryname,collection_countrycode,collection_countrylat,collection_countrylong,collection_subdiv1name,collection_subdiv1code,collection_subdiv1lat,collection_subdiv1long,collection_original,profile_lab,cluster_profile,cluster_label,clade,collection_tipdate,cluster_class
H5N8|2344b|EPI_ISL_10053635|carnivora|denmark|NA|2021-09-15,EPI_ISL_10053635,H5N8,A/harbour_seal/Denmark/521-2/2021-09-15/NA,15/09/2021,2021-09,2021,mammalia,carnivora,phocidae,phoca vitulina,harbour seal,FALSE,wild,mammal,northern europe,denmark,dnk,55.95129969,10.07078168,NA,NA,NA,NA,NA,NA,NA,NA,2344b,15/09/2021,NA
H10N7|2344b|EPI_ISL_1005678|anseriformes|russia|NA|2020-08-29,EPI_ISL_1005678,H10N7,A/common_teal/Chany_Lake/4/2020,29/08/2020,2020-08,2020,aves,anseriformes,anatidae,anas crecca,green-winged teal,TRUE,wild,anseriformes-wild,central asia,russia,rus,66.03766161,95.79709034,novosibirsk,ru.ns,55.27622322,79.78459144,NA,NA,NA,NA,2344b,29/08/2020,NA
H5N2|2344b|EPI_ISL_1005680|anseriformes|russia|3_9_6_1_5_23_1_2|2020-08-29,EPI_ISL_1005680,H5N2,a/common_teal/chany_lake/213/2020,29/08/2020,2020-08,2020,aves,anseriformes,anatidae,anas crecca,green-winged teal,TRUE,wild,anseriformes-wild,central asia,russia,rus,66.03766161,95.79709034,novosibirsk,ru.ns,55.27622322,79.78459144,Europe / Russia / Novosibirsk / NA / NA,NA,3_9_6_1_5_23_1_2,H5N2/2020/R2_Europe,2344b,29/08/2020,minor
H5N8|2344b|EPI_ISL_1009679|anseriformes|south_korea|7_1_5_2_3_3_1_2|2020-12-28,EPI_ISL_1009679,H5N8,a/duck/korea/h007/2020,28/12/2020,2020-12,2020,aves,anseriformes,anatidae,anatidae (duck sp.),duck sp.,TRUE,wild,anseriformes-wild,eastern asia,south korea,kor,36.34105796,127.7846307,chungcheongnam-do,kr.gn,36.52981161,126.8478258,Asia / Korea / CN / NA / NA,H5N8/2020/R1_Europe,7_1_5_2_3_3_1_2,H5N8/2020/R4_Asia,2344b,28/12/2020,minor
H5N8|2344b|EPI_ISL_1009680|galliformes|south_korea|3_2_3_1_3_2_1_2|2020-12-28,EPI_ISL_1009680,H5N8,a/white_peacock/korea/h533/2020,28/12/2020,2020-12,2020,aves,galliformes,phasianidae,pavo cristatus (domestic type),indian peafowl (domestic type),TRUE,domestic,galliformes-domestic,eastern asia,south korea,kor,36.34105796,127.7846307,gyeonggi-do,kr.kg,37.53153463,127.1810232,Asia / Korea / GG / NA / NA,H5N8/2020/R2_Asia,3_2_3_1_3_2_1_2,H5N8/2019/R7_Africa,2344b,28/12/2020,dominant
H5N8|2344b|EPI_ISL_1009681|galliformes|south_korea|12_1_5_2_3_3_1_2|2020-12-29,EPI_ISL_1009681,H5N8,a/chicken/korea/h541/2020,29/12/2020,2020-12,2020,aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,eastern asia,south korea,kor,36.34105796,127.7846307,chungcheongnam-do,kr.gn,36.52981161,126.8478258,Asia / Korea / CN / NA / NA,H5N8/2020/R3_Asia,12_1_5_2_3_3_1_2,H5N8/2020/R2_Asia,2344b,29/12/2020,minor
H5N8|2344b|EPI_ISL_1009682|galliformes|south_korea|3_2_3_1_3_2_1_2|2020-12-29,EPI_ISL_1009682,H5N8,a/chicken/korea/h544/2020,29/12/2020,2020-12,2020,aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,eastern asia,south korea,kor,36.34105796,127.7846307,gyeonggi-do,kr.kg,37.53153463,127.1810232,Asia / Korea / GG / NA / NA,H5N8/2020/R2_Asia,3_2_3_1_3_2_1_2,H5N8/2019/R7_Africa,2344b,29/12/2020,dominant
H5N8|2344b|EPI_ISL_1009683|anseriformes|south_korea|3_2_3_1_3_2_1_2|2020-12-29,EPI_ISL_1009683,H5N8,a/duck/korea/h542/2020,29/12/2020,2020-12,2020,aves,anseriformes,anatidae,anatidae (duck sp.),duck sp.,TRUE,wild,anseriformes-wild,eastern asia,south korea,kor,36.34105796,127.7846307,jeollanam-do,kr.cn,34.8733358,126.8972237,Asia / Korea / JN / NA / NA,H5N8/2020/R2_Asia,3_2_3_1_3_2_1_2,H5N8/2019/R7_Africa,2344b,29/12/2020,dominant
H5N8|2344b|EPI_ISL_1009684|anseriformes|south_korea|12_1_5_2_3_3_1_2|2020-12-30,EPI_ISL_1009684,H5N8,a/duck/korea/h548/2020,30/12/2020,2020-12,2020,aves,anseriformes,anatidae,anatidae (duck sp.),duck sp.,TRUE,wild,anseriformes-wild,eastern asia,south korea,kor,36.34105796,127.7846307,jeollabuk-do,kr.cb,35.71592818,127.1406598,Asia / Korea / JB / NA / NA,H5N8/2020/R3_Asia,12_1_5_2_3_3_1_2,H5N8/2020/R2_Asia,2344b,30/12/2020,minor
H5N8|2344b|EPI_ISL_1009685|anseriformes|south_korea|3_2_3_1_3_2_1_2|2020-12-30,EPI_ISL_1009685,H5N8,a/duck/korea/h549/2020,30/12/2020,2020-12,2020,aves,anseriformes,anatidae,anatidae (duck sp.),duck sp.,TRUE,wild,anseriformes-wild,eastern asia,south korea,kor,36.34105796,127.7846307,jeollabuk-do,kr.cb,35.71592818,127.1406598,Asia / Korea / JB / NA / NA,H5N8/2020/R2_Asia,3_2_3_1_3_2_1_2,H5N8/2019/R7_Africa,2344b,30/12/2020,dominant
